Sección,Palabra/Frase,Detalles
Condicionalidad,Hubiera vs. Habría,"• Relación sintáctica:<br> - Construcción típica: ""Si + hubiera + participio"" → ""habría + participio""<br> - Ejemplo: ""Si hubiera estudiado más, habría aprobado el examen""<br>• Diferencias de uso:<br> - Hubiera: Subjuntivo pluscuamperfecto, tradicionalmente en la condición (prótasis)<br> - Habría: Condicional perfecto, principalmente en la consecuencia (apódosis)<br>• Registros:<br> - Nivel formal: Separación clara entre ""hubiera"" y ""habría""<br> - Nivel coloquial: Mayor intercambiabilidad, predominio de ""hubiera""<br> - Variación regional: Mayor preferencia por ""hubiera"" en algunas regiones"
Expresiones de Utilidad,Que sirve(n) para,"• Estructuras gramaticales:<br> - Objeto + que sirve(n) para + infinitivo: ""Llaves que sirven para abrir puertas""<br> - Objeto + que sirve(n) para + sustantivo: ""Medicamento que sirve para el dolor""<br>• Concordancia gramatical:<br> - Singular: ""Este aparato sirve para medir la presión""<br> - Plural: ""Estos aparatos sirven para medir la presión""<br>• Expresiones alternativas:<br> - Para + infinitivo: ""Tijeras para cortar papel""<br> - Con el fin de: ""Instrumento con el fin de calibrar""<br> - Destinado a: ""Producto destinado a usos industriales"""
Términos Zoológicos,El murciélago,"• Descripción zoológica:<br> - Mamífero volador nocturno del orden Chiroptera<br> - Único mamífero con capacidad de vuelo verdadero<br> - Alimentación: Insectívoros, frugívoros, nectarívoros, hematófagos según especie<br>• Aspectos lingüísticos:<br> - Particularidad: Contiene las cinco vocales del español<br> - Uso didáctico: Ejemplo para enseñar vocales<br> - Etimología: Del latín mus (ratón) y caeculus (ciego), ""ratón ciego""<br>• Variantes regionales:<br> - ""Murciégalo"" (forma antigua y dialectal)<br> - ""Ratón volador"" (nombre popular)"
Términos Zoológicos,Roedores comunes,"• Características comunes:<br> - Dentición: Incisivos de crecimiento continuo<br> - Comportamiento: Masticación constante para desgastar dientes<br> - Reproducción: Generalmente prolíficos<br>• Tipos y características:<br> - Ratón: Pequeño, cola larga, orejas grandes, adaptabilidad<br> - Rata: Mediano, más robusta que el ratón, especies diversas<br> - Hamster: Pequeño, mejillas con bolsas, mascota popular<br> - Ardilla: Pequeño, cola peluda, trepa árboles, ágil<br> - Capibara: Muy grande, mayor roedor del mundo, semiacuático"
Anatomía Animal,Hocico,"• Definición: Parte prolongada de la cara de ciertos mamíferos<br>• Tipos según morfología:<br> - Alargado: Perro Galgo, Dóberman (fino y largo, olfato preciso)<br> - Achatado: Bulldog, Pug (corto, nariz hundida)<br> - Ancho: Hipopótamo, vaca (amplio, robusto para pastar)<br> - Puntiagudo: Zorro, lobos (afilado para caza)<br> - Flexible: Elefante (trompa con gran movilidad)<br>• Funciones:<br> - Olfativa: Principal órgano sensorial<br> - Alimentación: Manipulación, selección y captura<br> - Táctil: Exploración del entorno (con vibrisas)"
Gastronomía,Entradas y aperitivos,"• Clasificación por tradición:<br> - Española: Tapas, pintxos (pequeñas porciones variadas)<br> - Italiana: Antipasto, bruschetta (ingredientes frescos)<br> - Francesa: Amuse-bouche, hors d'oeuvre (refinados, presentación cuidada)<br> - Latinoamericana: Empanadas, tequeños (frituras, masa rellena)<br>• Clasificación por preparación:<br> - Fríos: Tabla de embutidos, carpaccio, ensaladas pequeñas<br> - Calientes: Croquetas, mini quiches, calamares<br> - En pincho: Pinchos morunos, yakitori, brochetas<br>• Terminología regional:<br> - Entrada (América Latina): Primera parte formal de una comida<br> - Tapa (España): Pequeña porción, originalmente sobre bebida<br> - Botana (México): Equivalente a aperitivo"
Gastronomía,Carne vs. Guiso,"• Diferencias conceptuales:<br> - Carne: Tejido muscular de animales, usado como alimento<br> - Guiso: Técnica de cocción lenta con líquido; también el plato resultante<br>• Tipos de carnes:<br> - Vacuno/Res: Solomillo, costilla, falda (asados, bistecs)<br> - Cerdo: Lomo, paletilla, panceta (asados, embutidos)<br> - Pollo: Pechuga, muslo, ala (asados, fritos, sopas)<br> - Cordero: Pierna, costillas, paletilla (asados, guisos)<br>• Tipos de guisos regionales:<br> - España: Cocido madrileño (garbanzos, diversas carnes)<br> - México: Pozole (maíz, carne de cerdo)<br> - Argentina: Locro (maíz, porotos, carne)"
Expresiones Descriptivas,Alboroto,"• Definición: Ruido o desorden causado por una o varias personas<br>• Sinónimos según intensidad:<br> - Murmullo: Ruido suave de voces<br> - Barullo: Confusión de voces y movimientos<br> - Bullicio: Ruido alegre de multitud<br> - Alboroto: Desorden con ruido<br> - Tumulto: Confusión agitada, potencialmente violenta<br>• Contextos de uso:<br> - Escolar: ""Los niños armaron un alboroto en el recreo""<br> - Social: ""La noticia causó alboroto en el pueblo""<br> - Mediático: ""El escándalo causó gran alboroto en la prensa"""
Conceptos Abstractos,Sabiduría,"• Definición: Conocimiento profundo, experiencia y buen juicio<br>• Componentes principales:<br> - Conocimiento: Información y comprensión<br> - Experiencia: Vivencias acumuladas<br> - Discernimiento: Capacidad de juzgar adecuadamente<br> - Prudencia: Cautela en actuar y decidir<br>• Expresiones por cultura:<br> - Sabiduría popular: Refranes, proverbios, tradiciones orales<br> - Sabiduría filosófica: Sistemas de pensamiento estructurados<br> - Sabiduría científica: Conocimiento verificable y sistemático<br>• Términos relacionados:<br> - Inteligencia: Capacidad mental (más enfocada en capacidad cognitiva)<br> - Erudición: Conocimiento extenso (acumulación sin implicar juicio)<br> - Perspicacia: Penetración mental (comprensión rápida)"
Adjetivos Contextuales,Dichoso,"• Significados principales:<br> - Positivo: Feliz, afortunado<br> - Irónico: Molesto, causante de problemas<br>• Usos positivos:<br> - Felicidad: ""Se siente dichoso con su nueva familia""<br> - Fortuna: ""Es una persona dichosa que siempre tiene suerte""<br> - Bendición: ""Dichosos los que encuentran su vocación""<br>• Usos irónicos:<br> - Objetos problemáticos: ""¡Este dichoso ordenador no funciona!""<br> - Situaciones molestas: ""La dichosa reunión duró tres horas""<br> - Personas irritantes: ""Y el dichoso vecino con la música a todo volumen""<br>• Expresiones comunes:<br> - ""¡Dichosos los ojos que te ven!"" (alegría al ver a alguien tras mucho tiempo)"
Tipos de Aperturas,Huecos,"• Clasificación por origen:<br> - Agujero: Apertura completa que atraviesa (general)<br> - Hoyo: Concavidad en superficie, generalmente suelo (tierra, construcción)<br> - Orificio: Pequeña abertura, a menudo natural o técnica (biología, técnica)<br> - Cavidad: Espacio hueco dentro de algo sólido (geología, anatomía)<br>• Verbos para crear huecos:<br> - Perforar: ""Perforar una pared para pasar cables""<br> - Agujerear: ""La polilla agujereó la ropa""<br> - Taladrar: ""Taladrar la madera para el tornillo""<br> - Excavar: ""Excavar un foso alrededor del castillo""<br>• Verbos para cerrar huecos:<br> - Tapar: ""Tapar el agujero con masilla""<br> - Rellenar: ""Rellenar el bache con asfalto""<br> - Sellar: ""Sellar las grietas para evitar filtraciones"""
Verbos de Colisión,Estrellarse vs. Chocar,"• Diferencias principales:<br> - Estrellarse: Colisión violenta donde un objeto se rompe o destruye<br> - Chocar: Impacto entre objetos, no necesariamente destructivo<br>• Contextos de ""estrellarse"":<br> - Vehículos (grave): ""El avión se estrelló en la montaña""<br> - Objetos frágiles: ""El vaso se estrelló contra el suelo""<br> - Metafórico (fracaso): ""Sus sueños se estrellaron contra la realidad""<br> - Informática: ""El programa se estrelló"" (dejó de funcionar)<br>• Contextos de ""chocar"":<br> - Vehículos (menos grave): ""Los coches chocaron en el cruce""<br> - Personas: ""Chocó con un transeúnte en la calle""<br> - Metafórico (confrontación): ""Sus ideas chocan constantemente"""
Expresiones Temporales,Los últimos dos días vs. Los dos días anteriores,• Diferencias principales:<br> - Los últimos dos días: Incluye el día actual o de referencia (hoy es miércoles → lunes y martes)<br> - Los dos días anteriores: Desde antes del día actual (hoy es miércoles → lunes y domingo)<br>• Otras expresiones de pasado reciente:<br> - Ayer y anteayer: Exactamente los dos días previos (muy alta precisión)<br> - Estos días: Periodo indefinido reciente (baja precisión)<br> - La semana pasada: Los 7 días anteriores a esta semana (alta precisión)<br> - Hace un par de días: Aproximadamente dos días atrás (media precisión)<br> - Hace poco: Tiempo reciente indeterminado (muy baja precisión)
Agricultura,Cereales y cultivos,"• Cereales básicos:<br> - Trigo: Versátil, alto en gluten (pan, pasta, repostería)<br> - Maíz: Originario de América, versátil (tortillas, piensos)<br> - Arroz: Base alimentaria para billones (plato principal, guarnición)<br> - Cebada: Resistente, diversos climas (cerveza, piensos, sopas)<br> - Avena: Nutritiva, alto contenido fibra (cereales desayuno)<br>• Terminología relacionada:<br> - Cereal: Plantas de la familia de las gramíneas cultivadas por sus granos<br> - Grano: Semilla comestible de estas plantas<br> - Espiga: Estructura que contiene los granos en trigo, cebada<br> - Mazorca: Estructura que contiene los granos de maíz<br>• Productos derivados:<br> - Harinas: Base para pan, pasta, repostería<br> - Aceites: Especialmente de maíz y soja<br> - Almidones: Espesantes, industria alimentaria"
Expresiones Formales,Yo le hago saber vs. Yo le aviso,"• Diferencias principales:<br> - ""Yo le hago saber"": Formal, oficial, comunicaciones escritas y empresariales<br> - ""Yo le aviso"": Informal, cotidiano, conversaciones diarias<br>• Situaciones apropiadas para ""Yo le hago saber"":<br> - Comunicaciones formales escritas<br> - Notificaciones oficiales<br> - Entornos profesionales y corporativos<br> - Ejemplo: ""Yo le hago saber que su solicitud ha sido aprobada""<br>• Situaciones apropiadas para ""Yo le aviso"":<br> - Conversaciones cotidianas<br> - Recordatorios informales<br> - Entorno familiar o entre amigos<br> - Ejemplo: ""Yo le aviso cuando llegue el pedido"""
Lenguaje Infantil,Barriguita y diminutivos,"• Barriguita: Diminutivo afectivo de ""barriga"" (vientre)<br> - Contexto: ""La mamá está sobando la barriguita del bebé""<br> - Connotación: Ternura, afecto, cuidado<br>• Otros diminutivos para bebés:<br> - Manita (mano): ""¡Qué manitas tan pequeñas!""<br> - Piecito (pie): ""¡Mira qué piecitos tan gorditos!""<br> - Cabecita (cabeza): ""Sostén su cabecita con cuidado""<br> - Boquita (boca): ""Abre la boquita para comer""<br>• Objetos específicos para bebés:<br> - Sonajero: Juguete que hace ruido al agitarlo<br> - Chupete/Chupón: Pieza de silicona para succionar<br> - Babero: Tela para proteger la ropa<br> - Mordedor: Juguete para aliviar encías"
Verbos de Acción,Morder,"• Significados principales:<br> - Personas: Apretar con los dientes (""El niño mordió la manzana"")<br> - Animales: Acción defensiva u ofensiva (""El perro mordió al cartero"")<br> - Objetos: Sujeción o agarre metafórico (""Los frenos muerden el disco"")<br>• Expresiones específicas:<br> - ""Dar un mordisco"": Morder una vez algo comestible<br> - ""Morderse la lengua"": Contenerse de hablar<br> - ""Morder el anzuelo"": Caer en una trampa<br> - ""Morder el polvo"": Ser derrotado<br>• Términos relacionados:<br> - Mordisco: Acción de morder<br> - Mordedura: Herida producida al morder<br> - Mordisquear: Morder repetidamente y con suavidad"
Gradación de Dificultad,"Retos, desafíos y pruebas","• Comparación según intensidad:<br> - Ejercicio: Nivel bajo, contexto educativo (práctica, desarrollo)<br> - Tarea: Nivel bajo-medio, contexto educativo/laboral (obligación, rutina)<br> - Prueba: Nivel medio, contexto evaluativo (evaluación, verificación)<br> - Reto: Nivel medio-alto, contexto personal (superación, estímulo)<br> - Desafío: Nivel alto, contexto competitivo (confrontación, audacia)<br>• Verbos relacionados:<br> - Retar: Más lúdico o educativo (""Lo retó a resolver el problema"")<br> - Desafiar: Más serio, implica confrontación (""Desafió la autoridad"")<br> - Probar(se): Evaluar capacidad (""Se probó en una competición difícil"")<br> - Superar(se): Ir más allá de límites (""Superó todos los obstáculos"")"
Gradación de Humedad,"Mojar, empapar","• Escala de intensidad:<br> - Humedecer: Grado mínimo, contexto de precisión/cuidado (""Humedecer los labios"")<br> - Rociar: Superficial/disperso, contexto de plantas/cocina (""Rociar las plantas"")<br> - Mojar: Moderado, contexto general (""Mojarse con la lluvia"")<br> - Empapar: Saturación completa, contexto intenso (""Empapado hasta los huesos"")<br> - Encharcar: Formación de charcos, exceso de líquido (""El jardín se encharcó"")<br>• Contextos específicos:<br> - Mojar (intencionado): ""Mojar el pan en la salsa""<br> - Empapar (absorción completa): ""La toalla empapó todo el líquido""<br>• Otros verbos relacionados:<br> - Remojar: Mantener en líquido por tiempo<br> - Escurrir: Eliminar exceso de líquido<br> - Gotear: Caer líquido en gotas"
Polisemia Regional,Cuca,• Significados principales por región:<br> - Colombia: Insecto/cucaracha (coloquial)<br> - Venezuela: Vagina (vulgar)<br> - Chile: Pastel pequeño (gastronomía)<br> - España: Cabeza - coloquial<br> - R. Dominicana: Dulce de coco (gastronomía)<br> - México: Apodo cariñoso para María Refugio (familiar)<br> - Argentina: Mujer atractiva - lunfardo (argot)<br>• Consideraciones de uso:<br> - Alta variabilidad regional: Significado cambia drásticamente<br> - Potencial vulgaridad: En algunos contextos es término vulgar<br> - Precaución recomendada: Evitar en comunicación formal
Tipos de Diminutivos,Chistosito vs. Barriguita,"• Chistosito/Graciosito (irónico):<br> - Función: Ironía, desaprobación leve de comportamiento<br> - Tono: Generalmente crítico o sarcástico<br> - Contexto: Cuando alguien hace bromas inapropiadas<br> - Ejemplo: ""El chistosito de la clase siempre interrumpe""<br>• Barriguita (afectivo):<br> - Función: Expresar ternura, cariño<br> - Tono: Dulce, afectuoso<br> - Contexto: Bebés, niños pequeños, mascotas<br> - Ejemplo: ""La barriguita del bebé""<br>• Tipos de diminutivos:<br> - Afectivos: Expresan cariño (""abuelita"")<br> - Atenuantes: Suavizan peticiones (""un momentito"")<br> - Irónicos: Expresan crítica disfrazada (""listillo"")<br> - De tamaño: Indican menor dimensión (""mesita"")"
Medidas Culinarias,Una pizca de sal,"• Medidas indefinidas:<br> - Pizca: Mínima, lo que se toma con dos dedos (condimentos, especias)<br> - Puñado: Lo que cabe en una mano (ingredientes sólidos pequeños)<br> - Chorrito: Pequeña cantidad de líquido vertido (aceite, vino, salsas)<br> - Cucharadita: 5 ml aproximadamente (especias, azúcar, levadura)<br> - Cucharada: 15 ml aproximadamente (harinas, aceites, mantequilla)<br>• ""Una pizca"" de diferentes ingredientes:<br> - Sal: Ajuste final de sabor<br> - Pimienta: Toque de picante suave<br> - Nuez moscada: Aroma en salsas y bechamel<br>• Metáforas con ""pizca"":<br> - ""Una pizca de paciencia"" (un poco)<br> - ""Le falta una pizca de creatividad"" (pequeña cantidad)"
Terminología Gastronómica,Bocado,"• Términos relacionados según tamaño:<br> - Bocado: Estándar, contexto general, registro neutro (""Un bocado de pan"")<br> - Mordisco: Variable, acción de morder, registro neutro (""Dar un mordisco a la manzana"")<br> - Bocadito: Pequeño, recepciones/aperitivos, registro formal-neutro (""Bocaditos para la fiesta"")<br> - Pincho: Pequeño en palillo, tapas/aperitivos, registro gastronómico (""Pinchos de tortilla"")<br> - Canapé: Muy pequeño, eventos formales, registro formal (""Canapés elegantes"")<br>• Expresiones con ""bocado"":<br> - ""Bocado exquisito"": Algo delicioso<br> - ""No probar bocado"": No comer nada<br> - ""Ser un bocado difícil de tragar"": Algo difícil de aceptar"
Terminología Financiera,Cobro,"• Significado básico: Acción de recibir dinero por un servicio, producto o deuda<br>• Traducción: Collection, payment, charge<br>• Contextos de uso:<br> - Comercial: ""El cobro de la factura"" (The collection of the invoice)<br> - Bancario: ""Pasar al cobro un cheque"" (To cash a check)<br> - Laboral: ""Día de cobro"" (Payday)<br> - Vengativo (figurado): ""Tomarse algo como un cobro"" (To take something as payback)<br>• Expresiones relacionadas:<br> - ""Pasar al cobro"": Exigir el pago de una deuda (To demand payment)<br> - ""Poner al cobro"": Iniciar el proceso de recaudación (To start collection process)<br> - ""Pendiente de cobro"": Pago que aún no se ha recibido (Pending payment)"
Terminología Administrativa,Fichas,"• Significados principales:<br> - Expediente/registro: ""Ficha médica del paciente"" (Patient's medical record)<br> - Pieza de juego: ""Mover una ficha en el tablero"" (Move a piece on the board)<br> - Token/moneda: ""Comprar fichas para el casino"" (Buy tokens for the casino)<br> - Reseña/resumen: ""Ficha bibliográfica"" (Bibliographic record)<br> - Formulario: ""Rellenar la ficha de inscripción"" (Fill out the registration form)<br>• Contextos específicos:<br> - Administrativo: ""Ficha de cliente"" (Customer record)<br> - Médico: ""Ficha clínica"" (Clinical record)<br> - Educativo: ""Ficha académica"" (Academic record)<br>• Expresiones relacionadas:<br> - ""Abrir una ficha"": Crear un nuevo registro (Create a new record)<br> - ""Fichar a alguien"": En deportes, contratar; registrar entrada/salida laboral (To sign someone; to clock in/out)"
Verbos de Deseo,Anhelar,"• Significado: Desear profundamente algo, generalmente inalcanzable o distante<br>• Traducción: To long for, to yearn for<br>• Nivel de intensidad: Medio-alto<br>• Registro: Formal, literario<br>• Contextos:<br> - Literario/poético: ""Anhelo que vuelvas a mis brazos"" (I long for you to return to my arms)<br> - Formal/emotivo: ""Los padres anhelan que sus hijos tengan éxito"" (Parents yearn for their children to succeed)<br>• Construcciones:<br> - Con sustantivo: ""Anhelar la libertad"" (To long for freedom)<br> - Con infinitivo: ""Anhelo verte"" (I long to see you)<br> - Con subjuntivo: ""Anhelo que comprendas mi situación"" (I long for you to understand my situation)"
Verbos de Deseo,Rogar,"• Significado: Pedir con insistencia y humildad<br>• Traducción: To beg, to plead<br>• Nivel de intensidad: Alto<br>• Registro: Formal, religioso<br>• Contextos:<br> - Religioso: ""Rogamos que Dios nos bendiga"" (We pray that God blesses us)<br> - Formal/carta: ""Le ruego que considere mi solicitud"" (I beg you to consider my request)<br> - Cartas formales: ""Le ruego confirme su asistencia"" (I kindly ask you to confirm your attendance)<br>• Construcciones:<br> - Con subjuntivo: ""Ruego que me escuches"" (I beg that you listen to me)<br> - Con preposición: ""Rogar por alguien"" (To pray for someone)<br> - En imperativo: ""Ruégale que venga"" (Beg him/her to come)"
Verbos de Deseo,Suplicar,"• Significado: Pedir con extrema humildad, sumisión o desesperación<br>• Traducción: To implore, to beseech<br>• Nivel de intensidad: Muy alto<br>• Registro: Dramático, extremo<br>• Contextos:<br> - Situaciones extremas: ""Te suplico que me ayudes, es vida o muerte"" (I implore you to help me, it's life or death)<br> - Dramático: ""El acusado suplicó que tuvieran misericordia"" (The accused begged for mercy)<br>• Construcciones:<br> - Con subjuntivo: ""Suplico que me perdones"" (I beg that you forgive me)<br> - Con preposición: ""Suplicar por clemencia"" (To beg for mercy)<br> - Con infinitivo: ""Te suplico perdonarme"" (I beg you to forgive me)"
Patrones con Indicativo/Subjuntivo,Verbos de percepción,"• Con indicativo (afirmación):<br> - ""Veo que está lloviendo"" (I see it's raining)<br>• Con subjuntivo (negación):<br> - ""No veo que esté lloviendo"" (I don't see that it's raining)<br>• Ejemplos adicionales:<br> - ""Noto que hay un error"" / ""No noto que haya un error""<br> - ""Siento que me duele"" / ""No siento que me duela"""
Patrones con Indicativo/Subjuntivo,Verbos de pensamiento,"• Con indicativo (afirmación):<br> - ""Creo que es importante"" (I believe it's important)<br>• Con subjuntivo (negación):<br> - ""No creo que sea importante"" (I don't think it's important)<br>• Ejemplos adicionales:<br> - ""Pienso que tiene razón"" / ""No pienso que tenga razón""<br> - ""Considero que funciona"" / ""No considero que funcione"""
Patrones con Indicativo/Subjuntivo,Verbos de comunicación,"• Con indicativo (información objetiva):<br> - ""Dice que está enfermo"" (He says he's sick)<br>• Con subjuntivo (influencia):<br> - ""Dice que vengamos pronto"" (He says we should come soon)<br>• Ejemplos adicionales:<br> - ""Informa que hay cambios"" / ""Ordena que hagamos cambios""<br> - ""Comunica que llega tarde"" / ""Sugiere que lleguemos temprano"""
