Sección	Palabra/Frase	Detalles
Condicionalidad	Hubiera vs. Habría	"<div style=""text-align: left; width: 100%;"">• <b>Relación sintáctica</b>:<br> - <b>Construcción típica</b>: ""Si + hubiera + participio"" → ""habría + participio""<br> - <b>Ejemplo</b>: ""Si hubiera estudiado más, habría aprobado el examen""<br><br>• <b>Diferencias de uso</b>:<br> - <b>Hubiera</b>: Subjuntivo pluscuamperfecto, tradicionalmente en la condición (prótasis)<br> - <b>Habría</b>: Condicional perfecto, principalmente en la consecuencia (apódosis)<br><br>• <b>Registros</b>:<br> - <b>Nivel formal</b>: Separación clara entre ""hubiera"" y ""habría""<br> - <b>Nivel coloquial</b>: Mayor intercambiabilidad, predominio de ""hubiera""<br> - <b>Variación regional</b>: Mayor preferencia por ""hubiera"" en algunas regiones</div>"
Expresiones de Utilidad	Que sirve(n) para	"<div style=""text-align: left; width: 100%;"">• <b>Estructuras gramaticales</b>:<br> - <b>Objeto + que sirve(n) para + infinitivo</b>: ""Llaves que sirven para abrir puertas""<br> - <b>Objeto + que sirve(n) para + sustantivo</b>: ""Medicamento que sirve para el dolor""<br><br>• <b>Concordancia gramatical</b>:<br> - <b>Singular</b>: ""Este aparato sirve para medir la presión""<br> - <b>Plural</b>: ""Estos aparatos sirven para medir la presión""<br><br>• <b>Expresiones alternativas</b>:<br> - <b>Para + infinitivo</b>: ""Tijeras para cortar papel""<br> - <b>Con el fin de</b>: ""Instrumento con el fin de calibrar""<br> - <b>Destinado a</b>: ""Producto destinado a usos industriales""</div>"
Términos Zoológicos	El murciélago	"<div style=""text-align: left; width: 100%;"">• <b>Descripción zoológica</b>:<br> - <b>Mamífero volador nocturno del orden Chiroptera<br> - Único mamífero con capacidad de vuelo verdadero<br> - Alimentación</b>: Insectívoros, frugívoros, nectarívoros, hematófagos según especie<br><br>• <b>Aspectos lingüísticos</b>:<br> - <b>Particularidad</b>: Contiene las cinco vocales del español<br> - <b>Uso didáctico</b>: Ejemplo para enseñar vocales<br> - <b>Etimología</b>: Del latín mus (ratón) y caeculus (ciego), ""ratón ciego""<br><br>• <b>Variantes regionales</b>:<br> - <i>""Murciégalo""</i> (forma antigua y dialectal)<br> - <i>""Ratón volador""</i> (nombre popular)</div>"
Términos Zoológicos	Roedores comunes	"<div style=""text-align: left; width: 100%;"">• <b>Características comunes</b>:<br> - <b>Dentición</b>: Incisivos de crecimiento continuo<br> - <b>Comportamiento</b>: Masticación constante para desgastar dientes<br> - <b>Reproducción</b>: Generalmente prolíficos<br><br>• <b>Tipos y características</b>:<br> - <b>Ratón</b>: Pequeño, cola larga, orejas grandes, adaptabilidad<br> - <b>Rata</b>: Mediano, más robusta que el ratón, especies diversas<br> - <b>Hamster</b>: Pequeño, mejillas con bolsas, mascota popular<br> - <b>Ardilla</b>: Pequeño, cola peluda, trepa árboles, ágil<br> - <b>Capibara</b>: Muy grande, mayor roedor del mundo, semiacuático</div>"
Anatomía Animal	Hocico	"<div style=""text-align: left; width: 100%;"">• <b>Definición</b>: Parte prolongada de la cara de ciertos mamíferos<br><br>• <b>Tipos según morfología</b>:<br> - <b>Alargado</b>: Perro Galgo, Dóberman (fino y largo, olfato preciso)<br> - <b>Achatado</b>: Bulldog, Pug (corto, nariz hundida)<br> - <b>Ancho</b>: Hipopótamo, vaca (amplio, robusto para pastar)<br> - <b>Puntiagudo</b>: Zorro, lobos (afilado para caza)<br> - <b>Flexible</b>: Elefante (trompa con gran movilidad)<br><br>• <b>Funciones</b>:<br> - <b>Olfativa</b>: Principal órgano sensorial<br> - <b>Alimentación</b>: Manipulación, selección y captura<br> - <b>Táctil</b>: Exploración del entorno (con vibrisas)</div>"
Gastronomía	Entradas y aperitivos	"<div style=""text-align: left; width: 100%;"">• <b>Clasificación por tradición</b>:<br> - <b>Española</b>: Tapas, pintxos (pequeñas porciones variadas)<br> - <b>Italiana</b>: Antipasto, bruschetta (ingredientes frescos)<br> - <b>Francesa</b>: Amuse-bouche, hors d'oeuvre (refinados, presentación cuidada)<br> - <b>Latinoamericana</b>: Empanadas, tequeños (frituras, masa rellena)<br><br>• <b>Clasificación por preparación</b>:<br> - <b>Fríos</b>: Tabla de embutidos, carpaccio, ensaladas pequeñas<br> - <b>Calientes</b>: Croquetas, mini quiches, calamares<br> - <b>En pincho</b>: Pinchos morunos, yakitori, brochetas<br><br>• <b>Terminología regional</b>:<br> - <b>Entrada (América Latina)</b>: Primera parte formal de una comida<br> - <b>Tapa (España)</b>: Pequeña porción, originalmente sobre bebida<br> - <b>Botana (México)</b>: Equivalente a aperitivo</div>"
Gastronomía	Carne vs. Guiso	"<div style=""text-align: left; width: 100%;"">• <b>Diferencias conceptuales</b>:<br> - <b>Carne</b>: Tejido muscular de animales, usado como alimento<br> - <b>Guiso</b>: Técnica de cocción lenta con líquido; también el plato resultante<br><br>• <b>Tipos de carnes</b>:<br> - <b>Vacuno/Res</b>: Solomillo, costilla, falda (asados, bistecs)<br> - <b>Cerdo</b>: Lomo, paletilla, panceta (asados, embutidos)<br> - <b>Pollo</b>: Pechuga, muslo, ala (asados, fritos, sopas)<br> - <b>Cordero</b>: Pierna, costillas, paletilla (asados, guisos)<br><br>• <b>Tipos de guisos regionales</b>:<br> - <b>España</b>: Cocido madrileño (garbanzos, diversas carnes)<br> - <b>México</b>: Pozole (maíz, carne de cerdo)<br> - <b>Argentina</b>: Locro (maíz, porotos, carne)</div>"
Expresiones Descriptivas	Alboroto	"<div style=""text-align: left; width: 100%;"">• <b>Definición</b>: Ruido o desorden causado por una o varias personas<br><br>• <b>Sinónimos según intensidad</b>:<br> - <b>Murmullo</b>: Ruido suave de voces<br> - <b>Barullo</b>: Confusión de voces y movimientos<br> - <b>Bullicio</b>: Ruido alegre de multitud<br> - <b>Alboroto</b>: Desorden con ruido<br> - <b>Tumulto</b>: Confusión agitada, potencialmente violenta<br><br>• <b>Contextos de uso</b>:<br> - <b>Escolar</b>: ""Los niños armaron un alboroto en el recreo""<br> - <b>Social</b>: ""La noticia causó alboroto en el pueblo""<br> - <b>Mediático</b>: ""El escándalo causó gran alboroto en la prensa""</div>"
Conceptos Abstractos	Sabiduría	"<div style=""text-align: left; width: 100%;"">• <b>Definición</b>: Conocimiento profundo, experiencia y buen juicio<br><br>• <b>Componentes principales</b>:<br> - <b>Conocimiento</b>: Información y comprensión<br> - <b>Experiencia</b>: Vivencias acumuladas<br> - <b>Discernimiento</b>: Capacidad de juzgar adecuadamente<br> - <b>Prudencia</b>: Cautela en actuar y decidir<br><br>• <b>Expresiones por cultura</b>:<br> - <b>Sabiduría popular</b>: Refranes, proverbios, tradiciones orales<br> - <b>Sabiduría filosófica</b>: Sistemas de pensamiento estructurados<br> - <b>Sabiduría científica</b>: Conocimiento verificable y sistemático<br><br>• <b>Términos relacionados</b>:<br> - <b>Inteligencia</b>: Capacidad mental (más enfocada en capacidad cognitiva)<br> - <b>Erudición</b>: Conocimiento extenso (acumulación sin implicar juicio)<br> - <b>Perspicacia</b>: Penetración mental (comprensión rápida)</div>"
Adjetivos Contextuales	Dichoso	"<div style=""text-align: left; width: 100%;"">• <b>Significados principales</b>:<br> - <b>Positivo</b>: Feliz, afortunado<br> - <b>Irónico</b>: Molesto, causante de problemas<br><br>• <b>Usos positivos</b>:<br> - <b>Felicidad</b>: ""Se siente dichoso con su nueva familia""<br> - <b>Fortuna</b>: ""Es una persona dichosa que siempre tiene suerte""<br> - <b>Bendición</b>: ""Dichosos los que encuentran su vocación""<br><br>• <b>Usos irónicos</b>:<br> - <b>Objetos problemáticos</b>: ""¡Este dichoso ordenador no funciona!""<br> - <b>Situaciones molestas</b>: ""La dichosa reunión duró tres horas""<br> - <b>Personas irritantes</b>: ""Y el dichoso vecino con la música a todo volumen""<br><br>• <b>Expresiones comunes</b>:<br> - <i>""¡Dichosos los ojos que te ven!""</i> (alegría al ver a alguien tras mucho tiempo)</div>"
