Word (Spanish)	Word (English)	Definition (Spanish)	Collocations (Spanish)																					
Abrillantar	To polish	Dar brillo a una superficie o material.	Abrillantar muebles, abrillantar pisos																					
Aburrirse	To get bored	Sentir falta de interés, entusiasmo o estímulo en una situación o actividad.	Aburrirse en clase, aburrirse en casa																					
Acelerado	Accelerated	Que se desarrolla o actúa con rapidez.	Ritmo acelerado, proceso acelerado																					
Acercarse	To approach / To get close	Reducir la distancia física o emocional hacia algo o alguien.	Acercarse al final, acercarse a alguien																					
Acogedor	Cozy	Que resulta agradable y cómodo, especialmente en un lugar.	Ambiente acogedor, casa acogedora																					
Acordarse de	To remember	Tener en la memoria algo o alguien; evocar pensamientos o recuerdos.	Acordarse de un nombre, acordarse de un evento																					
Acostarse	To lie down / To go to bed	Adoptar una posición horizontal para descansar o dormir; iniciar el descanso nocturno o prepararse para dormir.	Acostarse temprano, rutina para acostarse																					
Acostumbrarse a	To get used to	Adaptarse o familiarizarse con una nueva situación o rutina.	Acostumbrarse a un horario, acostumbrarse a un lugar																					
Actualizar	To update	Poner al día algo, como información o programas informáticos.	Actualizar datos, actualizar un software																					
Afeitarse	To shave oneself	Eliminar el vello facial o corporal usando una herramienta como una navaja o máquina de afeitar.	Afeitarse la barba, afeitarse las piernas																					
Afeitarse	To shave oneself	Eliminar el vello corporal, especialmente facial, usando una herramienta adecuada.	Afeitarse por la mañana, afeitarse antes de salir																					
Afilar	To sharpen	Mejorar el filo de una herramienta para que sea más efectiva.	Afilar cuchillos, afilar herramientas																					
Alcanzar a	To catch up with	Lograr llegar al mismo nivel o posición que alguien más.	Alcanzar a los demás, alcanzar a un grupo																					
Alegrarse de	To become happy	Experimentar felicidad o satisfacción por algo.	Alegrarse de una noticia, alegrarse de un resultado																					
Alejarse	To move away / To distance oneself	Aumentar la distancia física, emocional o simbólica respecto a algo o alguien.	Alejarse de la ciudad, alejarse de los problemas																					
Almacenar	To store	Guardar alimentos u otros artículos en un lugar seguro y ordenado.	Almacenar datos, almacenar alimentos																					
Alquilar	To rent	Permitir el uso de algo a cambio de un pago periódico.	Alquilar un coche, alquilar un apartamento																					
Amargarse	To become bitter	Sentir resentimiento o desilusión hacia algo o alguien debido a experiencias negativas.	Amargarse por el pasado, amargarse con una situación																					
Ámsterdam	Amsterdam	The capital of the Netherlands, a hub for academic conferences.	Viajar a Ámsterdam, turismo en Ámsterdam																					
Amueblar	To furnish	Proveer de muebles a una vivienda o espacio.	Amueblar un apartamento, amueblar una casa																					
Andarse con	To get along with	Mantener una relación armoniosa o llevarse bien con alguien.	Andarse con cuidado, andarse con un amigo																					
Aprovecharse de	To take advantage of	Utilizar una situación o a alguien para beneficio propio, a menudo de manera injusta.	Aprovecharse de una oportunidad, aprovecharse de la situación																					
Apuntar a	To aim at / To target	Dirigir esfuerzos o intenciones hacia un objetivo específico.	Apuntar a un mercado, apuntar a resultados																					
Armarse de valor	To muster up courage	Reunir la valentía necesaria para enfrentar una situación difícil o desafiante.	Armarse de valor para hablar, armarse de valor ante un reto																					
Arrepentirse de	To regret / To repent	Sentir remordimiento por una acción, decisión o pensamiento.	Arrepentirse de un error, arrepentirse de no actuar																					
Aspirar	To vacuum	Succionar polvo y suciedad con una aspiradora.	Aspirar alfombras, aspirar el polvo																					
Asustarse	To get scared	Experimentar miedo o susto debido a una situación inesperada o aterradora.	Asustarse con una película, asustarse en la oscuridad																					
Atar a	To tie to / To bind to	Conectar o asociar algo con otra cosa de manera física o figurativa.	Atar a un poste, atar a un propósito																					
Atornillar	To screw	Fijar o unir objetos utilizando tornillos y una herramienta para girarlos.	Atornillar madera, atornillar un mueble																					
Atravesar por	To go through	Pasar a través de un lugar o situación.	Atravesar por una crisis, atravesar por un túnel																					
Atreverse a	To dare to / To take a risk	Tener el valor de hacer algo arriesgado o inusual.	Atreverse a hablar, atreverse a intentar algo nuevo																					
Atreverse a	To dare to	Tener el valor de realizar una acción que puede ser difícil o arriesgada.	Atreverse a hablar, atreverse a intentar algo nuevo																					
Atreverse a	To dare to	Tener el coraje para realizar una acción que puede ser arriesgada o desafiante.	Atreverse a hablar, atreverse a intentar algo nuevo																					
Auténtico	Authentic	Publicación genuina, que refleja la realidad del usuario.	Contenido auténtico, comportamiento auténtico																					
Bajar de	To get off from / To descend from	Salir de un vehículo o bajar de una altura.	Bajar de un autobús, bajar de un árbol																					
Bañarse	To bathe oneself / To take a bath	Lavarse el cuerpo en una bañera o ducharse; implica higiene personal.	Bañarse antes de dormir, bañarse en la mañana																					
Barrer	To sweep	Limpiar el suelo utilizando una escoba para recoger polvo y suciedad.	Barrer el piso, barrer hojas																					
Batir	To whisk	Mezclar ingredientes rápidamente para incorporar aire y lograr una mezcla ligera.	Batir huevos, batir crema																					
Blanquear	To bleach	Usar lejía para eliminar manchas o dar un tono blanco a una superficie.	Blanquear ropa, blanquear paredes																					
Bloquear	To block	Impedir que alguien interactúe contigo o vea tu perfil.	Bloquear usuarios, bloquear mensajes																					
Burlarse de	To mock / To make fun of	Reírse o ridiculizar a alguien de manera despectiva o irónica.	Burlarse de un compañero, burlarse de una idea																					
Buscar entre	To search among	Examinar o intentar encontrar algo dentro de un grupo o colección.	Buscar entre papeles, buscar entre opciones																					
Buscar la manera de	To find a way to	Intentar descubrir o crear un método para lograr algo.	Buscar la manera de resolver, buscar la manera de innovar																					
Caer bien/mal	To like/dislike someone	Tener una buena o mala impresión de alguien.	Caer bien a los colegas, caer mal en una reunión																					
Caer en	To fall into	Entrar en una situación o estado de manera inesperada.	Caer en una trampa, caer en una confusión																					
Calentar	To heat	Aumentar la temperatura de los alimentos o líquidos.	Calentar comida, calentar agua																					
Cálido	Warm	Que transmite o tiene una sensación de calor o afecto.	Clima cálido, tono cálido																					
Callarse	To be quiet / To stop talking	Guardar silencio de manera voluntaria o forzada.	Callarse en clase, callarse por respeto																					
Cambiarse de	To change oneself	Modificar algo de uno mismo, como ropa o lugar.	Cambiarse de ropa, cambiarse de casa																					
Cambiarse de	To change oneself	Modificar algo de uno mismo, como la ropa, el lugar o la situación personal.	Cambiarse de ropa, cambiarse de trabajo																					
Cansarse de	To get tired of	Sentir fatiga física, mental o emocional debido a monotonía o esfuerzo.	Cansarse de esperar, cansarse del trabajo																					
Cansarse de	To get tired of	Sentir aburrimiento o falta de interés hacia algo que antes era atractivo o interesante.	Cansarse de estudiar, cansarse de esperar																					
Casarse con	To get married	Contraer matrimonio, ya sea legal, religioso o cultural.	Casarse con alguien, casarse por la iglesia																					
Casarse con	To marry	Unirse en matrimonio con alguien, estableciendo una relación legal y/o religiosa.	Casarse con alguien especial, casarse por amor																					
Cautivarse por	To become captivated by	Quedar fascinado o completamente interesado en algo o alguien.	Cautivarse por un libro, cautivarse por una historia																					
Centrarse en	To focus on	Poner la atención o el esfuerzo en un aspecto o tarea específica.	Centrarse en los estudios, centrarse en el problema																					
Cepillar	To brush	Frotar una superficie con un cepillo de mano para eliminar suciedad.	Cepillar dientes, cepillar ropa																					
Cepillarse	To brush oneself	Usar un cepillo para limpiar o arreglar partes del cuerpo como los dientes o el cabello.	Cepillarse los dientes, cepillarse el cabello																					
Cercano	Close	Estilo que crea proximidad con la audiencia.	Lugar cercano, estilo cercano																					
Chocar con	To collide with	Tener una colisión física con algo o alguien; también puede referirse a conflictos de ideas o intereses.	Chocar con un coche, chocar con una idea																					
Clásico	Classic	Que tiene un estilo atemporal o tradicional.	Música clásica, diseño clásico																					
Colgarse de	To hang onto	Sujetarse firmemente a algo; también puede significar depender emocionalmente de alguien.	Colgarse de una cuerda, colgarse de las emociones																					
Comentar	To comment	Escribir una opinión o reacción en una publicación.	Comentar una foto, comentar en redes sociales																					
Compartir	To share	Distribuir una publicación a tus seguidores o contactos.	Compartir en redes sociales, compartir una foto																					
Conducirse bien/mal	To behave well/badly	Actuar de manera adecuada o inadecuada en situaciones sociales.	Conducirse bien en público, conducirse mal en clase																					
Conecta	Connects	Establecer conexiones emocionales o intelectuales.	Conecta con la audiencia, conecta personas																					
Confiarse a	To confide in	Revelar secretos o información personal a alguien en quien se confía.	Confiarse a un amigo, confiarse a un consejero																					
Confundirse con	To confuse with	Mezclar o equivocarse al identificar algo o a alguien.	Confundirse con los nombres, confundirse con los términos																					
Conocerse a sí mismo	To know oneself	Tener conocimiento profundo de uno mismo; esencial para el desarrollo personal.	Conocerse mejor, reflexionar para conocerse																					
Conocerse a sí mismo	To know oneself	Tener un profundo entendimiento de las propias características, emociones y comportamientos.	Conocerse a sí mismo profundamente, conocerse mejor																					
Consentir en	To consent to	Aceptar o estar de acuerdo con algo ofrecido o propuesto.	Consentir en participar, consentir en aceptar																					
Consultar con	To consult with	Pedir consejo o información a alguien con más conocimiento o autoridad.	Consultar con un médico, consultar con un abogado																					
Contar con	To count on	Depender de alguien o algo para obtener apoyo o ayuda.	Contar con amigos, contar con recursos																					
Controversial	Controversial	Publicación que genera opiniones divididas o debates.	Tema controversial, declaración controversial																					
Convertirse en	To become	Cambiar de estado, condición o forma.	Convertirse en líder, convertirse en empresario																					
Convivir	To live together	Vivir en compañía, compartiendo espacio y experiencias.	Convivir en familia, convivir con amigos																					
Coordinar talleres	Workshop coordination	Organizar y supervisar el desarrollo de talleres educativos o prácticos.	Coordinar talleres escolares, talleres empresariales																					
Cortar	To cut	Dividir o separar materiales utilizando una herramienta adecuada.	Cortar papel, cortar madera																					
Cubrir con	To cover with	Poner una capa sobre algo para protegerlo o ocultarlo.	Cubrir con una manta, cubrir con plástico																					
Cuidar	To care for	Atender y proporcionar apoyo a alguien que lo necesita.	Cuidar a los niños, cuidar plantas																					
Dar a entender	To imply / To suggest	Comunicar de manera indirecta o insinuar algo.	Dar a entender un mensaje, dar a entender una idea																					
Dar con	To find	Encontrar algo o a alguien después de buscarlo.	Dar con una solución, dar con la persona adecuada																					
Dar en el clavo	To hit the nail on the head	Acertar exactamente en algo.	Dar en el clavo con la idea, dar en el clavo en la solución																					
Dar like	To like	Indicar que te gusta una publicación.	Dar like a una foto, dar like a un comentario																					
Dar lugar a	To give rise to	Causar o permitir que algo ocurra.	Dar lugar a confusión, dar lugar a un debate																					
Dar por	To consider as	Considerar algo o a alguien de cierta manera.	Dar por terminado, dar por sentado																					
Darse cuenta de	To realize	Percatarse de algo previamente desconocido o ignorado.	Darse cuenta de un error, darse cuenta de la situación																					
Decorar	To decorate	Embellecer o adornar un lugar u objeto.	Decorar una habitación, decorar para una fiesta																					
Defenderse de	To defend oneself against	Protegerse o resguardarse de ataques, críticas o situaciones adversas.	Defenderse de un ataque, defenderse de críticas																					
Dejar de	To stop	Interrumpir una acción o hábito que se estaba realizando.	Dejar de fumar, dejar de estudiar																					
Desalojar	To evict	Expulsar a alguien de un lugar, generalmente de una vivienda o propiedad.	Desalojar inquilinos, desalojar una propiedad																					
Descansar de	To rest from	Tomarse un tiempo libre de una actividad para recuperar energía.	Descansar del trabajo, descansar de los estudios																					
Deshacerse de	To get rid of / To dispose of	Eliminar o deshacerse de algo o alguien.	Deshacerse de papeles, deshacerse de hábitos malos																					
Deshacerse de	To get rid of	Eliminar o desprenderse de algo que ya no se desea o necesita.	Deshacerse de papeles viejos, deshacerse de malos hábitos																					
Desinfectar	To disinfect	Eliminar bacterias y microorganismos de una superficie.	Desinfectar superficies, desinfectar manos																					
Deslizar	To swipe	Mover el dedo sobre la pantalla para navegar o interactuar.	Deslizar para aceptar, deslizar en una app																					
Despedirse de	To say goodbye to	Expresarse para marcar una partida.	Despedirse de alguien, despedirse formalmente																					
Despedirse de	To say goodbye to	Decir adiós a alguien al partir o separarse.	Despedirse de un amigo, despedirse del trabajo																					
Despedirse de	To say goodbye to	Expresar adiós a alguien al partir o separarse temporalmente.	Despedirse de la familia, despedirse de un amigo																					
Despejarse con	To clear up with	Resolver dudas o malentendidos mediante una explicación o diálogo.	Despejarse con preguntas, despejarse con una charla																					
Despejarse de	To clear oneself of	Eliminar algo que impide avanzar o que es innecesario.	Despejarse de preocupaciones, despejarse de dudas																					
Despertarse	To wake up	Salir del estado de sueño; iniciar el día o reactivarse tras descansar.	Despertarse temprano, despertarse con alarma																					
Despertarse con	To wake up with	Iniciar el día acompañado de algo específico, como un pensamiento o una emoción.	Despertarse con energía, despertarse con una canción																					
Despertarse de	To wake up from	Salir del estado de sueño en un momento específico.	Despertarse de una pesadilla, despertarse del sueño																					
Diferenciarse de	To differentiate oneself from	Destacarse o distinguirse de otros en características o cualidades.	Diferenciarse de los demás, diferenciarse en estilo																					
Diligenciarse	To take care of oneself	Realizar acciones necesarias para mantener el bienestar personal, como la salud o la higiene.	Diligenciarse en el trabajo, diligenciarse en tareas																					
Dirigirse a	To head towards	Orientarse o encaminarse hacia un lugar específico con un propósito determinado.	Dirigirse a la escuela, dirigirse a la reunión																					
Diseñar programas	To design programs	Crear estructuras o planes detallados para proyectos educativos u organizativos.	Diseñar programas escolares, diseño de programas ejecutivos																					
Disfrazarse de	To disguise oneself as	Cambiar la apariencia personal para ocultar la identidad o imitar a alguien más.	Disfrazarse de superhéroe, disfrazarse de algo gracioso																					
