name,handle,category,instagram_url,youtube_url,website_url,description
Presidencia de Colombia,@infopresidencia,Government,https://instagram.com/infopresidencia,https://www.youtube.com/@PresidenciaColombiaOficial,,Official account of the Presidency of Colombia - Casa de Nariño
Mexico in USA,@embamexeua,Diplomatic,https://instagram.com/embamexeua,https://www.youtube.com/@embamexeua,,"Mexican Embassy in Washington DC, USA"
Mexican Consulate Seattle,@consulmexsea,Diplomatic,https://instagram.com/consulmexsea,https://www.youtube.com/@consulmexsea,,"Mexican Consulate in Seattle, Washington"
MinCultura Colombia,@mincultura,Government,,https://www.youtube.com/@MinisterioCulturaColombia,,Ministry of Culture of Colombia - promoting Colombian cultural heritage
MinEducación,@mineducacion,Government,,https://www.youtube.com/@Mineducacion,,Ministry of National Education of Colombia
Alcaldía de Bogotá,@alcaldiabogota,Government,,https://www.youtube.com/@AlcaldiaBogota,,Mayor's Office of Bogotá - local government of Colombia's capital
SRE Mexico,@sremx,Government,,https://www.youtube.com/@sre_mx,,Ministry of Foreign Affairs of Mexico
Gobierno de México,@gobmexico,Government,,https://www.youtube.com/@gobmx,,Official account of the Government of Mexico
MinDefensa Colombia,@mindefensa,Government,,https://www.youtube.com/@MindefensaColombia,,Ministry of National Defense of Colombia
MinHacienda Colombia,@minhacienda,Government,,https://www.youtube.com/@MinHaciendaColombia,,Ministry of Finance and Public Credit of Colombia
MinSalud Colombia,@minsaludcol,Government,,https://www.youtube.com/@MinSaludColombia,,Ministry of Health and Social Protection of Colombia
MinTIC Colombia,@minticscolombia,Government,,https://www.youtube.com/@MinTICColombia,,Ministry of Information and Communication Technologies of Colombia
MinTrabajo Colombia,@mintrabajocol,Government,,https://www.youtube.com/@MintrabajoColombia,,Ministry of Labor of Colombia
MinTransporte Colombia,@mintransporteco,Government,,https://www.youtube.com/@Mintransporte,,Ministry of Transportation of Colombia
Presidencia México,@presidenciamx,Government,,https://www.youtube.com/@PresidenciaMexico,,Official account of the Presidency of Mexico
SEP México,@sepgobmx,Government,,https://www.youtube.com/@SEPGobMx,,Ministry of Public Education of Mexico
Salud México,@saludmexico,Government,,https://www.youtube.com/@SecretariadeSaludMexico,,Ministry of Health of Mexico
Hacienda México,@hacienda_mexico,Government,,https://www.youtube.com/@HaciendaMexico,,Ministry of Finance and Public Credit of Mexico
SCT México,@sct_mx,Government,,https://www.youtube.com/@SCT_mx,,Ministry of Communications and Transportation of Mexico
SEMARNAT México,@semarnat_mexico,Government,,https://www.youtube.com/@SEMARNAT_mx,,Ministry of Environment and Natural Resources of Mexico
Economía México,@economía.mexico,Government,,https://www.youtube.com/@economiamexicoName,,Ministry of Economy of Mexico
USA Embassy,@usembassymex,Diplomatic,https://instagram.com/usembassymex,https://www.youtube.com/@USEmbassyMexico,,United States Embassy in Mexico
France Embassy,@franciaenmexico,Diplomatic,https://instagram.com/franciaenmexico,https://www.youtube.com/@FranciaenMexico,,Embassy of France in Mexico
Mexico in Canada,@embamexcan,Diplomatic,https://instagram.com/embamexcan,https://www.youtube.com/@embamexcan,,Embassy of Mexico in Canada
Mexico in Chile,@embamexchi,Diplomatic,https://instagram.com/embamexchi,https://www.youtube.com/@embamexchi,,Embassy of Mexico in Chile
Mexico in Colombia,@embamexcol,Diplomatic,https://instagram.com/embamexcol,https://www.youtube.com/@embamexcol,,Embassy of Mexico in Colombia
Mexico in Guatemala,@embamexgua,Diplomatic,https://instagram.com/embamexgua,https://www.youtube.com/@embamexgua,,Embassy of Mexico in Guatemala
Mexico in Italy,@embamex_italia,Diplomatic,https://instagram.com/embamex_italia,https://www.youtube.com/@embamex_italia,,Embassy of Mexico in Italy
Mexico in Japan,@embamexjp,Diplomatic,https://instagram.com/embamexjp,https://www.youtube.com/@embamexjp,,Embassy of Mexico in Japan
Mexico in Lebanon,@embamexlibano,Diplomatic,https://instagram.com/embamexlibano,https://www.youtube.com/@embamexlibano,,Embassy of Mexico in Lebanon
Mexico in Peru,@embamexperu,Diplomatic,https://instagram.com/embamexperu,https://www.youtube.com/@embamexperu,,Embassy of Mexico in Peru
Mexico in Spain,@embamexesp,Diplomatic,https://instagram.com/embamexesp,https://www.youtube.com/@embamexesp,,Embassy of Mexico in Spain
Mexico in Uruguay,@embamexur,Diplomatic,https://instagram.com/embamexur,https://www.youtube.com/@embamexur,,Embassy of Mexico in Uruguay
Mexico in Venezuela,@embamexvenezuela,Diplomatic,https://instagram.com/embamexvenezuela,https://www.youtube.com/@embamexvenezuela,,Embassy of Mexico in Venezuela
Mexican Consulate LA,@consulmexla,Diplomatic,,https://www.youtube.com/@ConsulmexLA,,Mexican Consulate General in Los Angeles
Mexican Consulate NY,@consulmexny,Diplomatic,,https://www.youtube.com/@ConsulmexNY,,Mexican Consulate General in New York
