port,protocol,service,description,encrypted,category,risk_level,common_attacks
20,TCP,FTP-DATA,File Transfer Protocol Data,No,File Transfer,Medium,Data interception
21,TCP,FTP,File Transfer Protocol Control,No,File Transfer,Medium,Credential theft
22,TCP,SSH,Secure Shell,Yes,Remote Access,Low,Brute force
23,TCP,Telnet,Unencrypted remote access,No,Remote Access,Critical,Clear text passwords
25,TCP,SMTP,Simple Mail Transfer Protocol,No*,Email,Medium,Spam relay
53,TCP/UDP,DNS,Domain Name System,No*,Core Services,Low,DNS poisoning
67,UDP,DHCP-Server,Dynamic Host Configuration Server,No,Core Services,Low,Rogue DHCP
68,UDP,DHCP-Client,Dynamic Host Configuration Client,No,Core Services,Low,DHCP starvation
69,UDP,TFTP,Trivial File Transfer Protocol,No,File Transfer,High,Unauthorized access
80,TCP,HTTP,Hypertext Transfer Protocol,No,Web,Medium,Man-in-the-middle
110,TCP,POP3,Post Office Protocol v3,No*,Email,Medium,Credential theft
119,TCP,NNTP,Network News Transfer Protocol,No,Legacy,Low,Information disclosure
123,UDP,NTP,Network Time Protocol,No,Core Services,Low,NTP amplification
135,TCP,RPC,Microsoft RPC Endpoint Mapper,No,Windows,Critical,Remote exploits
137,UDP,NetBIOS-NS,NetBIOS Name Service,No,Windows,High,Name poisoning
138,UDP,NetBIOS-DGM,NetBIOS Datagram,No,Windows,High,Information disclosure
139,TCP,NetBIOS-SSN,NetBIOS Session,No,Windows,High,Null sessions
143,TCP,IMAP,Internet Message Access Protocol,No*,Email,Medium,Credential theft
161,UDP,SNMP,Simple Network Management Protocol,No,Management,Medium,Information disclosure
162,UDP,SNMPTRAP,SNMP Trap,No,Management,Low,False alerts
179,TCP,BGP,Border Gateway Protocol,No*,Routing,Medium,Route hijacking
389,TCP,LDAP,Lightweight Directory Access Protocol,No,Directory,Medium,Information disclosure
443,TCP,HTTPS,HTTP Secure,Yes,Web,Low,SSL/TLS vulnerabilities
445,TCP,SMB,Server Message Block,No*,File Sharing,Critical,"Ransomware, worms"
465,TCP,SMTPS,SMTP Secure,Yes,Email,Low,Misconfiguration
500,UDP,IKE,Internet Key Exchange,Yes,VPN,Low,DDoS
514,UDP,Syslog,System Logging Protocol,No,Logging,Low,Log injection
515,TCP,LPD,Line Printer Daemon,No,Printing,Low,Print job interception
520,UDP,RIP,Routing Information Protocol,No,Routing,Medium,Route poisoning
587,TCP,Submission,Mail Submission,No*,Email,Low,Requires auth
636,TCP,LDAPS,LDAP Secure,Yes,Directory,Low,Certificate issues
853,TCP,DoT,DNS over TLS,Yes,Core Services,Low,Privacy focused
989,TCP,FTPS-DATA,FTP Secure Data,Yes,File Transfer,Low,Configuration complexity
990,TCP,FTPS,FTP Secure Control,Yes,File Transfer,Low,Configuration complexity
993,TCP,IMAPS,IMAP Secure,Yes,Email,Low,Certificate issues
995,TCP,POP3S,POP3 Secure,Yes,Email,Low,Certificate issues
1080,TCP,SOCKS,SOCKS Proxy,No,Proxy,Medium,Open proxy abuse
1194,UDP/TCP,OpenVPN,OpenVPN Default,Yes,VPN,Low,Misconfiguration
1433,TCP,MS-SQL,Microsoft SQL Server,No,Database,High,"SQL injection, brute force"
